fid,gid,codibge,nome,Anomaliamean
"1",399,"4128807",Xambre,-66.3763549508662
"2",93,"4106852",Cruzmaltina,-49.2350153883627
"3",348,"4125407",Sao Jose Da Boa Vista,-33.2318560948448
"4",331,"4124004",Santana Do Itarare,-56.3053109442169
"5",359,"4126207",Sapopema,-62.9333951160888
"6",76,"4105508",Cianorte,-67.7941093534441
"7",104,"4107520",Esperanca Nova,-63.5980245802138
"8",327,"4123824",Santa Lucia,-37.4176153929337
"9",44,"4103305",Borrazopolis,-38.9875336557064
"10",95,"4107009",Curiuva,-59.7240996454685
"11",112,"4107751",Figueira,-60.8021607445282
"12",377,"4127502",Tibagi,-56.8215593764778
"13",283,"4120358",Pranchita,-0.144344896154582
"14",263,"4119004",Perola D'Oeste,-1.12272104261104
"15",382,"4127882",Tunas Do Parana,-46.7617796486605
"16",2,"4100202",Adrianopolis,-41.1689118789568
"17",35,"4102901",Bituruna,-35.6959889261953
"18",75,"4105409",Chopinzinho,-5.51269752593837
"19",183,"4113205",Lapa,-63.1118713807677
"20",341,"4124806",Sao Joao,-23.6817653055315
"21",159,"4111209",Itapejara D'Oeste,-28.9496435791838
"22",22,"4101804",Araucaria,-65.1015226348795
"23",21,"4101705",Araruna,-59.3957929501588
"24",383,"4127908",Tuneiras Do Oeste,-58.2049851941633
"25",274,"4119806",Planalto,-11.2898919573264
"26",122,"4108452",Foz Do Jordao,-39.719494431488
"27",352,"4125605",Sao Mateus Do Sul,-55.3760450792659
"28",318,"4123006",Salto Do Lontra,-11.3463465057439
"29",326,"4123808",Santa Izabel Do Oeste,3.66445916388111
"30",216,"4115705",Matinhos,-75.113233752367
"31",253,"4118204",Paranagua,-61.6715923209249
"32",195,"4113908",Mallet,-17.4823359415776
"33",305,"4122008",Rio Azul,-29.4767114570104
"34",92,"4106803",Cruz Machado,-37.3779583637562
"35",147,"4110201",Inacio Martins,-28.1169382129532
"36",361,"4126272",Saudade Do Iguacu,-7.41207436805076
"37",94,"4106902",Curitiba,-61.9421354356583
"38",59,"4104204",Campo Largo,-55.2185086083424
"39",286,"4120606",Prudentopolis,-49.0626063976898
"40",289,"4120804",Quatro Barras,-54.9000687765908
"41",79,"4105805",Colombo,-69.5504294166082
"42",188,"4113452",Lindoeste,-43.9817945002638
"43",111,"4107736",Fernandes Pinheiro,-61.3701319502603
"44",146,"4110102",Imbituva,-66.5604952950227
"45",69,"4104808",Cascavel,-42.6148481922949
"46",397,"4128658",Virmond,-46.0404627276402
"47",64,"4104451",Cantagalo,-45.4186130387883
"48",106,"4107546",Espigao Alto Do Iguacu,-31.19046883041
"49",235,"4117057",Nova Laranjeiras,-40.0599100551397
"50",119,"4108304",Foz Do Iguacu,-47.5636672825967
"51",275,"4119905",Ponta Grossa,-55.1978792419621
"52",126,"4108650",Goioxim,-39.522616337835
"53",213,"4115457",Marquinho,-38.0661897350131
"54",332,"4124020",Santa Tereza Do Oeste,-50.5135015672253
"55",57,"4104055",Campo Bonito,-39.0159451138657
"56",134,"4109302",Guaraniacu,-33.500109742634
"57",162,"4111407",Ivai,-77.0998568079778
"58",91,"4106704",Cruzeiro Do Sul,-56.3510873603354
"59",252,"4118105",Paranacity,-56.4786712255949
"60",322,"4123402",Santa Fe,-43.6911294950349
"61",190,"4113601",Lobato,-50.4296132190875
"62",130,"4108957",Guamiranga,-70.257320926479
"63",295,"4121257",Ramilandia,-42.5279756746794
"64",254,"4118303",Paranapoema,-60.0724022777368
"65",140,"4109757",Ibema,-30.7795145422591
"66",221,"4115903",Mirador,-59.706516233078
"67",10,"4100905",Amapora,-47.0138201366197
"68",30,"4102505",Barbosa Ferraz,-51.8496238131331
"69",110,"4107702",Fenix,-53.3104804744565
"70",314,"4122651",Rosario Do Ivai,-58.1274454875318
"71",129,"4108908",Guairaca,-49.2810951860521
"72",355,"4125803",Sao Pedro Do Ivai,-53.4289564965056
"73",42,"4103206",Bom Sucesso,-57.8583225897181
"74",328,"4123857",Santa Maria Do Oeste,-48.3147097744848
"75",38,"4103040",Boa Ventura De Sao Roque,-43.8595214545308
"76",55,"4103958",Campina Do Simao,-19.1033919046585
"77",249,"4117800",Palmital,-52.9501941222439
"78",97,"4107124",Diamante Do Sul,-32.8137660388051
"79",70,"4104907",Castro,-52.9148929670038
"80",393,"4128559",Vera Cruz Do Oeste,-41.5997326360273
"81",354,"4125753",Sao Pedro Do Iguacu,-37.8150369057587
"82",362,"4126306",Senges,-44.4496734084693
"83",245,"4117453",Ouro Verde Do Oeste,-32.1233376883642
"84",150,"4110508",Ipiranga,-68.5625723806368
"85",384,"4127957",Tupassi,-30.9752958848387
"86",54,"4103909",Campina Da Lagoa,-40.7487068799047
"87",67,"4104659",Carambei,-56.0146106845163
"88",385,"4127965",Turvo,-26.676958092472
"89",62,"4104402",Candido De Abreu,-58.1978873396932
"90",184,"4113254",Laranjal,-38.8419733863693
"91",231,"4116802",Nova Cantu,-49.7695560433721
"92",203,"4114609",Marechal Candido Rondon,-12.4162122379263
"93",271,"4119608",Pitanga,-57.1675406202595
"94",300,"4121604",Renascenca,-36.4923978366762
"95",73,"4105201",Cerro Azul,-60.1933411267485
"96",217,"4115739",Mato Rico,-60.7102764769445
"97",312,"4122503",Roncador,-58.2248521911673
"98",84,"4106308",Corbelia,-46.9602517179386
"99",144,"4110052",Iguatu,-47.598916852197
"100",12,"4101051",Anahy,-46.1668658658683
"101",386,"4128005",Ubirata,-40.4626673723256
"102",180,"4112959",Juranda,-47.7704579552939
"103",239,"4117222",Nova Santa Rosa,-22.9694948997927
"104",290,"4120853",Quatro Pontes,-18.2906006963629
"105",379,"4127700",Toledo,-27.73837171634
"106",202,"4114500",Manoel Ribas,-54.4804739842169
"107",23,"4101853",Ariranha Do Ivai,-51.8923576635326
"108",241,"4117271",Nova Tebas,-60.9386372919436
"109",154,"4110805",Iretama,-54.7583748977611
"110",211,"4115358",Maripa,-31.3906853188594
"111",287,"4120655",Quarto Centenario,-48.2009984070541
"112",297,"4121356",Rancho Alegre D'Oeste,-52.2768591371034
"113",145,"4110078",Imbau,-70.0473237563449
"114",25,"4102000",Assis Chateaubriand,-23.8315724063597
"115",163,"4111506",Ivaipora,-55.7524530449692
"116",269,"4119400",Pirai Do Sul,-46.4265602366249
"117",169,"4112009",Jaguariaiva,-30.5868746840097
"118",125,"4108601",Goioere,-52.2979875575231
"119",36,"4103008",Boa Esperanca,-56.121349157289
"120",208,"4115101",Mariluz,-41.4000735338996
"121",88,"4106555",Corumbatai Do Sul,-53.2256185279702
"122",224,"4116109",Moreira Sales,-54.0898139124036
"123",373,"4127106",Telemaco Borba,-59.3075655661166
"124",392,"4128534",Ventania,-49.7401856678646
"125",193,"4113759",Lunardelli,-51.0460401053627
"126",343,"4125001",Sao Joao Do Ivai,-50.8827411106655
"127",226,"4116307",Munhoz De Melo,-38.2448691618607
"128",182,"4113106",Kalore,-47.8224879064058
"129",214,"4115507",Marumbi,-54.2639910801348
"130",380,"4127809",Tomazina,-58.9538213760458
"131",266,"4119202",Pinhalao,-56.9880058070592
"132",172,"4112306",Japira,-61.3967390704799
"133",158,"4111100",Itambe,-59.452128731525
"134",306,"4122107",Rio Bom,-54.2902375087943
"135",242,"4117297",Novo Itacolomi,-51.095051806906
"136",166,"4111704",Jaboti,-58.9926441262621
"137",317,"4122909",Salto Do Itarare,-61.4308525111137
"138",68,"4104709",Carlopolis,-62.3621812657925
"139",165,"4111605",Ivatuba,-63.0951058334774
"140",101,"4107306",Doutor Camargo,-64.3772919113572
"141",115,"4107900",Floresta,-60.241817342318
"142",336,"4124301",Santo Antonio Do Paraiso,-57.6034231185913
"143",370,"4126801",Tapejara,-63.2665344782658
"144",237,"4117206",Nova Olimpia,-53.7640102134561
"145",358,"4126108",Sao Tome,-78.1579686703889
"146",173,"4112405",Japura,-83.531092672637
"147",315,"4122701",Sabaudia,-49.7501423097528
"148",246,"4117503",Paicandu,-56.4397870240388
"149",244,"4117404",Ourizona,-61.3959258520982
"150",77,"4105607",Cidade Gaucha,-57.4721883177944
"151",18,"4101507",Arapongas,-54.638991050657
"152",311,"4122404",Rolandia,-50.0621428483016
"153",198,"4114203",Mandaguari,-54.7755619502159
"154",292,"4121000",Querencia Do Norte,-16.2445125162171
"155",24,"4101903",Assai,-54.2445267540674
