fid,gid,codibge,nome,Anomaliamean
"1",399,"4128807",Xambre,-89.0007596158897
"2",93,"4106852",Cruzmaltina,-81.4227844269808
"3",348,"4125407",Sao Jose Da Boa Vista,-42.7070239475795
"4",331,"4124004",Santana Do Itarare,-64.3602905944364
"5",359,"4126207",Sapopema,-74.2369087283955
"6",76,"4105508",Cianorte,-85.3984322842902
"7",104,"4107520",Esperanca Nova,-81.2875964355469
"8",327,"4123824",Santa Lucia,-72.2898779237904
"9",44,"4103305",Borrazopolis,-81.9324251138939
"10",95,"4107009",Curiuva,-73.5163293667382
"11",112,"4107751",Figueira,-72.9817248594414
"12",377,"4127502",Tibagi,-83.4287124640237
"13",283,"4120358",Pranchita,-60.0785554567041
"14",263,"4119004",Perola D'Oeste,-60.1290994956277
"15",382,"4127882",Tunas Do Parana,-68.8656704107022
"16",2,"4100202",Adrianopolis,-62.9884010702057
"17",35,"4102901",Bituruna,-75.2371230952201
"18",75,"4105409",Chopinzinho,-73.5699816734962
"19",183,"4113205",Lapa,-92.5476902222442
"20",341,"4124806",Sao Joao,-77.2060982716548
"21",159,"4111209",Itapejara D'Oeste,-77.303970748303
"22",22,"4101804",Araucaria,-94.2816221119571
"23",21,"4101705",Araruna,-82.8515787624004
"24",383,"4127908",Tuneiras Do Oeste,-90.3252350403382
"25",274,"4119806",Planalto,-65.3479231855923
"26",122,"4108452",Foz Do Jordao,-85.163403719262
"27",352,"4125605",Sao Mateus Do Sul,-79.6250026084032
"28",318,"4123006",Salto Do Lontra,-67.7903972201877
"29",326,"4123808",Santa Izabel Do Oeste,-60.4409005576998
"30",216,"4115705",Matinhos,-85.2507028812315
"31",253,"4118204",Paranagua,-75.8998896751875
"32",195,"4113908",Mallet,-82.7820658236006
"33",305,"4122008",Rio Azul,-78.6840223638505
"34",92,"4106803",Cruz Machado,-90.0138667328189
"35",147,"4110201",Inacio Martins,-83.3470388870949
"36",361,"4126272",Saudade Do Iguacu,-69.7208034109562
"37",94,"4106902",Curitiba,-89.8546776178057
"38",59,"4104204",Campo Largo,-86.8708189455957
"39",286,"4120606",Prudentopolis,-84.3040773267043
"40",289,"4120804",Quatro Barras,-84.6969819769159
"41",79,"4105805",Colombo,-92.2606170026562
"42",188,"4113452",Lindoeste,-69.1613245237026
"43",111,"4107736",Fernandes Pinheiro,-83.7533645511781
"44",146,"4110102",Imbituva,-85.9233129400956
"45",69,"4104808",Cascavel,-63.484571930891
"46",397,"4128658",Virmond,-70.1735212195153
"47",64,"4104451",Cantagalo,-68.2586003481506
"48",106,"4107546",Espigao Alto Do Iguacu,-60.9957254075361
"49",235,"4117057",Nova Laranjeiras,-58.3943486988204
"50",119,"4108304",Foz Do Iguacu,-62.6581915578534
"51",275,"4119905",Ponta Grossa,-79.5326429979474
"52",126,"4108650",Goioxim,-71.1075938193259
"53",213,"4115457",Marquinho,-61.5766857698969
"54",332,"4124020",Santa Tereza Do Oeste,-69.1129318468937
"55",57,"4104055",Campo Bonito,-59.8397081313232
"56",134,"4109302",Guaraniacu,-57.5052821821086
"57",162,"4111407",Ivai,-89.1492346846711
"58",91,"4106704",Cruzeiro Do Sul,-73.7360650134844
"59",252,"4118105",Paranacity,-71.7868644393558
"60",322,"4123402",Santa Fe,-77.9096912621901
"61",190,"4113601",Lobato,-75.6094023973772
"62",130,"4108957",Guamiranga,-87.2839419342751
"63",295,"4121257",Ramilandia,-65.3159401441875
"64",254,"4118303",Paranapoema,-69.7099105347978
"65",140,"4109757",Ibema,-59.4619970361227
"66",221,"4115903",Mirador,-77.1157734824457
"67",10,"4100905",Amapora,-69.3947770895547
"68",30,"4102505",Barbosa Ferraz,-70.1307056417984
"69",110,"4107702",Fenix,-73.7206642336962
"70",314,"4122651",Rosario Do Ivai,-74.563220539823
"71",129,"4108908",Guairaca,-67.784265366189
"72",355,"4125803",Sao Pedro Do Ivai,-77.5917474257736
"73",42,"4103206",Bom Sucesso,-80.9996544315569
"74",328,"4123857",Santa Maria Do Oeste,-75.9324144141216
"75",38,"4103040",Boa Ventura De Sao Roque,-81.1341654357604
"76",55,"4103958",Campina Do Simao,-76.4337028535251
"77",249,"4117800",Palmital,-66.5250298069512
"78",97,"4107124",Diamante Do Sul,-50.3673462024234
"79",70,"4104907",Castro,-75.3765150664812
"80",393,"4128559",Vera Cruz Do Oeste,-66.3025114908384
"81",354,"4125753",Sao Pedro Do Iguacu,-63.2099008191142
"82",362,"4126306",Senges,-53.3452496222847
"83",245,"4117453",Ouro Verde Do Oeste,-56.9938547273562
"84",150,"4110508",Ipiranga,-85.826912045641
"85",384,"4127957",Tupassi,-58.9385950734925
"86",54,"4103909",Campina Da Lagoa,-56.763484936826
"87",67,"4104659",Carambei,-79.9129751566294
"88",385,"4127965",Turvo,-83.6156121638783
"89",62,"4104402",Candido De Abreu,-77.5535506995777
"90",184,"4113254",Laranjal,-51.5603191100799
"91",231,"4116802",Nova Cantu,-64.2720266409125
"92",203,"4114609",Marechal Candido Rondon,-41.2176248822893
"93",271,"4119608",Pitanga,-75.6035340848427
"94",300,"4121604",Renascenca,-74.781248591129
"95",73,"4105201",Cerro Azul,-76.54288997677
"96",217,"4115739",Mato Rico,-71.3738911423502
"97",312,"4122503",Roncador,-70.48869268032
"98",84,"4106308",Corbelia,-63.4867707349583
"99",144,"4110052",Iguatu,-63.0289288897847
"100",12,"4101051",Anahy,-63.0947594700089
"101",386,"4128005",Ubirata,-56.5015732701742
"102",180,"4112959",Juranda,-63.4151738803161
"103",239,"4117222",Nova Santa Rosa,-43.8055450368372
"104",290,"4120853",Quatro Pontes,-35.7067015698082
"105",379,"4127700",Toledo,-53.1571538238445
"106",202,"4114500",Manoel Ribas,-67.6929107188655
"107",23,"4101853",Ariranha Do Ivai,-67.5407576873859
"108",241,"4117271",Nova Tebas,-71.6931783799772
"109",154,"4110805",Iretama,-69.4781461060374
"110",211,"4115358",Maripa,-52.4940805310245
"111",287,"4120655",Quarto Centenario,-69.0583939076403
"112",297,"4121356",Rancho Alegre D'Oeste,-71.2637870769062
"113",145,"4110078",Imbau,-86.1532420024219
"114",25,"4102000",Assis Chateaubriand,-56.3911779512115
"115",163,"4111506",Ivaipora,-71.6735996212973
"116",269,"4119400",Pirai Do Sul,-65.2991695932627
"117",169,"4112009",Jaguariaiva,-40.2666809884044
"118",125,"4108601",Goioere,-77.5231621939377
"119",36,"4103008",Boa Esperanca,-74.2986176633936
"120",208,"4115101",Mariluz,-76.3529558069566
"121",88,"4106555",Corumbatai Do Sul,-71.4128641668356
"122",224,"4116109",Moreira Sales,-85.1109291117459
"123",373,"4127106",Telemaco Borba,-77.2944851924581
"124",392,"4128534",Ventania,-70.3831614611055
"125",193,"4113759",Lunardelli,-75.291175013533
"126",343,"4125001",Sao Joao Do Ivai,-75.0798838070461
"127",226,"4116307",Munhoz De Melo,-74.1463751726986
"128",182,"4113106",Kalore,-81.8459731905084
"129",214,"4115507",Marumbi,-83.5088165467044
"130",380,"4127809",Tomazina,-67.6195845619242
"131",266,"4119202",Pinhalao,-68.459867640904
"132",172,"4112306",Japira,-72.3604357178147
"133",158,"4111100",Itambe,-77.5865922048302
"134",306,"4122107",Rio Bom,-84.1132850510245
"135",242,"4117297",Novo Itacolomi,-83.9442126609591
"136",166,"4111704",Jaboti,-68.4071248605711
"137",317,"4122909",Salto Do Itarare,-70.9844106038411
"138",68,"4104709",Carlopolis,-74.0535642911857
"139",165,"4111605",Ivatuba,-77.5396519766913
"140",101,"4107306",Doutor Camargo,-78.497649280445
"141",115,"4107900",Floresta,-77.3504450577956
"142",336,"4124301",Santo Antonio Do Paraiso,-71.6366649040809
"143",370,"4126801",Tapejara,-89.4795027581521
"144",237,"4117206",Nova Olimpia,-82.2292554243556
"145",358,"4126108",Sao Tome,-87.7217208641163
"146",173,"4112405",Japura,-89.8758097850915
"147",315,"4122701",Sabaudia,-76.9494243127563
"148",246,"4117503",Paicandu,-79.648885401973
"149",244,"4117404",Ourizona,-78.0093786825982
"150",77,"4105607",Cidade Gaucha,-81.6998119863274
"151",18,"4101507",Arapongas,-77.9729584271635
"152",311,"4122404",Rolandia,-71.6846786819138
"153",198,"4114203",Mandaguari,-82.1531158242646
"154",292,"4121000",Querencia Do Norte,-47.287689586915
"155",24,"4101903",Assai,-75.1095370280242
"156",371,"4126900",Tapira,-78.1234894804166
"157",228,"4116505",Nova Alianca Do Ivai,-76.7459794537151
"158",319,"4123105",Santa Amelia,-77.733755158215
"159",321,"4123303",Santa Cruz De Monte Castelo,-50.266435658846
"160",272,"4119657",Pitangueiras,-63.3371631976255
"161",178,"4112801",Joaquim Tavora,-71.6859057428558
"162",303,"4121802",Ribeirao Claro,-73.9215838973587
"163",284,"4120408",Presidente Castelo Branco,-76.1504823360206
"164",27,"4102208",Atalaia,-75.3951414596203
"165",197,"4114104",Mandaguacu,-78.4534073705259
"166",117,"4108106",Florida,-77.6972296237946
"167",365,"4126504",Sertanopolis,-80.5204335008435
"168",52,"4103701",Cambe,-73.4837583086568
"169",168,"4111902",Jaguapita,-59.2915694325765
"170",176,"4112702",Jataizinho,-81.5910102813598
"171",390,"4128401",Urai,-80.8631764580222
"172",334,"4124103",Santo Antonio Da Platina,-77.6795486315757
"173",167,"4111803",Jacarezinho,-75.6396791377187
